series,adf_p,kpss_p,is_stationary
RSI,7.152652586551266e-24,0.1,True
MACD_1,8.058431683432836e-14,0.023369314392497058,False
MACD_2,5.804417915607801e-12,0.022463213575330744,False
BollingerBands,1.7037813002861e-29,0.1,True
Volatility,1.6063537787915214e-09,0.01,False
