series,adf_p,kpss_p,is_stationary
RSI,1.7153755110763777e-29,0.1,True
MACD_1,1.4690170459697976e-19,0.1,True
MACD_2,2.873503651701347e-18,0.1,True
BollingerBands,9.049765228016404e-30,0.1,True
Volatility,9.779362961305344e-10,0.1,True
