series,adf_p,kpss_p,is_stationary
RSI,5.443616440043259e-24,0.09454337462949351,True
MACD_1,5.60460904207326e-28,0.1,True
MACD_2,2.6005729116815875e-24,0.1,True
BollingerBands,3.204132854072885e-29,0.1,True
Volatility,6.156434486588002e-08,0.1,True
