series,adf_p,kpss_p,is_stationary
RSI,5.443616440043259e-24,0.09454337462949351,True
MACD_1,3.13765756420698e-19,0.04814265763695355,False
MACD_2,3.0801745429558773e-16,0.04656635617757105,False
BollingerBands,3.204132854072885e-29,0.1,True
Volatility,6.156434486588002e-08,0.1,True
