series,adf_p,kpss_p,is_stationary
RSI,7.152652586551266e-24,0.1,True
MACD_1,2.369245085832184e-25,0.1,True
MACD_2,1.2886471004471372e-24,0.1,True
BollingerBands,1.7037813002861e-29,0.1,True
Volatility,7.517720590311883e-30,0.1,True
