series,adf_p,kpss_p,is_stationary
RSI,2.834447794508141e-18,0.1,True
MACD_1,2.7317386458648225e-14,0.1,True
MACD_2,4.5294707428396565e-13,0.1,True
BollingerBands,5.625560800019873e-22,0.1,True
Volatility,2.2260019291163416e-26,0.1,True
