series,adf_p,kpss_p,is_stationary
RSI,6.635357887144557e-21,0.1,True
MACD_1,7.734238620640843e-11,0.09380362231828711,True
MACD_2,9.404031725850874e-11,0.08982462600182031,False
BollingerBands,2.100864576129576e-27,0.1,True
Volatility,2.6788510725533484e-07,0.1,True
