window_start,total_return,cagr,volatility,sharpe,max_drawdown,total_trades,hit_rate,avg_holding_period
2016-05-27,0.20978412986122663,1.1420595108372815,0.8502133147063073,1.3227904445261283,-0.3303631403946673,16,0.5789473684210527,4.75
2016-08-26,0.17308701658099834,0.8937424423204527,0.7210922379018744,1.2312862337662829,-0.26029388087613725,19,0.45454545454545453,3.3
2016-11-25,0.11011252926305382,0.5186860976518395,0.4263429711670354,1.1930696854011507,-0.23769658873894994,23,0.5789473684210527,3.1666666666666665
2017-02-28,0.22769431374788018,1.2717523050607196,0.6358124008304616,1.6004300950098695,-0.17574967283217857,20,0.48717948717948717,4.875
2017-05-30,-0.2946703536640154,-0.752503789447749,0.49075343197043236,-2.5864229902718017,-0.33206926647272883,12,0.4482758620689655,4.833333333333333
2017-08-28,-0.20662643198016517,-0.6038032489850456,0.5434499653362055,-1.425734136616454,-0.31773770511095467,17,0.46153846153846156,4.875
2017-11-27,-0.4286715455888537,-0.8934524625366841,0.738266314100173,-2.6468660916557,-0.5112578119474815,17,0.4878048780487805,5.125
2018-02-28,-0.0064706541473265045,-0.025632482334419948,0.6549371479440881,0.28068878315562135,-0.3791249313996392,26,0.5294117647058824,3.090909090909091
2018-05-30,-0.17356989457101024,-0.5335291414519183,0.6271696946338661,-0.8965019245386389,-0.44811082773598565,21,0.5405405405405406,5.285714285714286
2018-08-28,-0.35662667910449164,-0.8286625925183977,0.9248580750475756,-1.4307328269303943,-0.790680052234805,13,0.46511627906976744,6.142857142857143
2018-11-27,0.31908603883832964,2.0275581630910517,0.9770540079895923,1.5958646791109319,-0.5266083666655265,20,0.59375,3.5555555555555554
2019-03-01,-0.1865316884742234,-0.5621124888080655,0.8113028475034002,-0.6000036202422971,-0.6144629308114444,25,0.55,3.6363636363636362
2019-05-31,-0.24670769385185687,-0.6780012936296019,0.8683953542978087,-0.870304194891151,-0.4310531227274017,17,0.40540540540540543,4.625
2019-08-29,0.281006192894135,1.69280507551229,0.8377402177031743,1.591594675192811,-0.4125776051534584,23,0.5806451612903226,2.5833333333333335
2019-11-27,-0.5352624056782618,-0.9533521939993856,0.9534895107222354,-2.712155288368352,-0.8654715365083188,13,0.4358974358974359,5.571428571428571
2020-03-02,-0.1707923162086331,-0.5272263412791327,1.542257843261872,0.2850706843055911,-0.5201050660424476,16,0.5,7.0
2020-06-01,0.13697851754658474,0.6711253845676222,0.6127238924618383,1.1379193550222484,-0.19287419938740658,19,0.5625,3.5555555555555554
2020-08-28,-0.030408615968025465,-0.11619797871467497,0.626089192175676,0.11423501678602323,-0.16487561654668526,21,0.4444444444444444,2.4545454545454546
2020-11-27,-0.009602800847697268,-0.03786145422510112,0.6524101212491361,0.26135870049648885,-0.3486085937822535,20,0.53125,4.0
2021-03-02,-0.06383494372871623,-0.2319142539186626,0.599403566318517,-0.14458553184984843,-0.29176550010266455,19,0.5428571428571428,4.375
2021-06-01,-0.09154887459328431,-0.31890723169065327,0.7289807717704949,-0.16816366220188791,-0.47531628740445675,15,0.48717948717948717,5.571428571428571
2021-08-30,0.1456628020848323,0.7227697990833712,0.6777104196452484,1.1359001396913022,-0.19197604593821538,17,0.5555555555555556,4.5
2021-11-29,0.4576370518675592,3.5143746302212495,0.4864993762437367,3.3408631027179325,-0.11569881061398135,22,0.6296296296296297,2.7
2022-03-01,0.09168298897995153,0.42031990035161115,0.7142754092515565,0.8577584597706968,-0.2603307030003925,19,0.5555555555555556,4.0
2022-05-31,-0.32779372476684276,-0.7958213868333772,0.8394326683793537,-1.4633666245889176,-0.4815754399997526,15,0.45,5.0
2022-08-30,0.2693134936890811,1.5958260578006018,0.7530882114931976,1.6384834378457467,-0.3533535103983634,24,0.5882352941176471,3.090909090909091
2022-11-29,0.21161850127139958,1.1550809371176496,0.5541517335327002,1.6609195436457125,-0.19358374203402762,30,0.6764705882352942,3.4
2023-03-02,0.11512390586494137,0.546295546349854,0.48381392146960284,1.140484906951793,-0.180593862930701,20,0.5384615384615384,4.333333333333333
2023-06-01,0.11076024895829684,0.5222336448873421,0.34175645884257116,1.3975211172111883,-0.13501580773653266,22,0.5588235294117647,3.4
2023-08-31,0.2117211217181525,1.1558111454025282,0.2850591678313695,2.8363138102937557,-0.14769176677337192,15,0.5483870967741935,3.875
2023-11-30,0.10293886222008952,0.47980931819313644,0.27407363482623326,1.5657558820203246,-0.11649687284447985,16,0.6153846153846154,3.25
2024-03-04,-0.0803798647412669,-0.2847894918652727,0.26512592139678687,-1.1324466901607144,-0.1307779756364713,13,0.5238095238095238,6.0
2024-06-03,0.05206267288717914,0.22508563798850734,0.3597586370943003,0.7459287427230593,-0.17145536736421296,21,0.6060606060606061,3.0
2024-09-03,-0.12850909804279975,-0.42316523024403285,0.3355595198581679,-1.4703619572487476,-0.22097789420147929,23,0.45454545454545453,3.0
2024-12-02,-0.1836650174307609,-0.5559073031323878,0.4335126701070083,-1.6518518151885926,-0.2661039755368392,15,0.46511627906976744,6.142857142857143
2025-03-06,0.0046977184044034725,0.018923700141365796,0.9459706730129088,0.48465395671770967,-0.3482137978186708,14,0.5641025641025641,7.8
