window_start,total_return,cagr,volatility,sharpe,max_drawdown,total_trades,hit_rate,avg_holding_period
2011-01-03,-0.08547575786315476,-0.30051100069593395,0.17647150554091132,-1.9373348631429572,-0.10757206072010861,17,0.3870967741935484,62.0
2011-04-04,0.020742078639854,0.08558559839380742,0.18834850946269494,0.5287116951269271,-0.08740454352876403,5,0.5645161290322581,62.0
2011-07-05,-0.02121122840843892,-0.08218338704761974,0.4086937368902052,-0.007313359898346844,-0.20257958799947406,9,0.532258064516129,62.0
2011-10-03,-0.1884355179161138,-0.5661974226560669,0.32790960209840236,-2.3814681006549385,-0.22913872173112115,13,0.3870967741935484,62.0
2012-01-03,0.027806520645343946,0.11595189626119318,0.15208103100175968,0.796640947575128,-0.06283460494367088,9,0.5483870967741935,62.0
2012-04-03,0.08898880063738401,0.4063507646610969,0.209486168149307,1.7316786288745505,-0.06582131564197913,19,0.5161290322580645,62.0
2012-07-03,0.044484231857158774,0.19016603450153058,0.17995442411774318,1.056744634234239,-0.0654673963478356,9,0.5483870967741935,62.0
2012-10-02,-0.02539182208257995,-0.09776388982624318,0.1591557380425013,-0.5681097734853755,-0.11069975779808205,11,0.5161290322580645,62.0
2013-01-04,0.04574792585622234,0.1959362982061017,0.13623601412791786,1.381138473000443,-0.06850724044185763,13,0.532258064516129,62.0
2013-04-08,-0.04605206684371521,-0.17186968002734337,0.18785253500399307,-0.9109323435950637,-0.11455878838996636,11,0.46774193548387094,62.0
2013-07-08,0.006140733385179065,0.024790112835697986,0.1571509504889257,0.23322284622125283,-0.07318047752203549,17,0.532258064516129,62.0
2013-10-04,-0.00883312194079322,-0.034867094199648396,0.17673455796862997,-0.1137470008957249,-0.08723026512792087,9,0.5161290322580645,62.0
2014-01-06,0.025201564405833876,0.10468139804455912,0.22470678913237968,0.5538811174991347,-0.07496941673894253,11,0.5161290322580645,62.0
2014-04-07,0.025549237767801714,0.10618066891918687,0.22649009790990357,0.556174468139262,-0.07978019005613035,5,0.41935483870967744,62.0
2014-07-08,-0.0031237354848834276,-0.012436517426230531,0.15488147143438508,-0.004674936126753425,-0.045855953350706136,7,0.46774193548387094,62.0
2014-10-06,0.10061043956762394,0.4673526865997868,0.19001773249867465,2.1128043359952673,-0.09084513244380621,7,0.4838709677419355,62.0
2015-01-06,-0.08263479952802977,-0.29177859925425553,0.16123035673092145,-2.059028274326731,-0.14497449498123416,13,0.3548387096774194,62.0
2015-04-08,0.032170801839643826,0.13502722348329899,0.12900158242778226,1.0453228067671523,-0.05378585944391012,19,0.45161290322580644,62.0
2015-07-08,-0.04662255018392847,-0.17384886951183298,0.26196407924170684,-0.5997857484438078,-0.1243124172901271,9,0.4838709677419355,62.0
2015-10-06,0.0031768234040827625,0.012767975204464932,0.18826029144725037,0.15979386734739437,-0.10104245837928427,11,0.46774193548387094,62.0
2016-01-06,0.10318391844352814,0.48112492097661885,0.29233655761126154,1.4898635928038884,-0.13936275483540284,5,0.532258064516129,62.0
2016-04-07,-0.05641700275638839,-0.20727888490456525,0.186115704417774,-1.1562862628466282,-0.12504762686903115,15,0.41935483870967744,62.0
2016-07-07,-0.03903000665294298,-0.14721548162964382,0.11711368001260988,-1.3017589958241798,-0.0781788271746705,7,0.43548387096774194,62.0
2016-10-05,0.05926041027125373,0.25895719309130105,0.14579281191125507,1.6521774137706382,-0.05212745347136272,9,0.6129032258064516,62.0
2017-01-05,-0.03032546788568835,-0.11589477512677526,0.09164550370289892,-1.2985202708504286,-0.05677251044879372,5,0.4032258064516129,62.0
2017-04-06,-0.08760598641867023,-0.30700562664712394,0.14896006856256633,-2.3873592025383505,-0.09633928580191142,11,0.4032258064516129,62.0
2017-07-07,0.03629234525494729,0.15326512938179282,0.13410865012971268,1.1294385288543518,-0.06431754027926606,13,0.4838709677419355,62.0
2017-10-05,0.021614920319438458,0.08930352261696095,0.12139910157583637,0.7645142414368292,-0.03363199301991915,17,0.5645161290322581,62.0
2018-01-05,-0.04714236076178535,-0.17564916804750275,0.2397645599613227,-0.6873010097995481,-0.09103317841543868,11,0.46774193548387094,62.0
2018-04-09,-0.066981850437968,-0.24218993731251381,0.18516886210989308,-1.4056976020005356,-0.14092372254490793,7,0.41935483870967744,62.0
2018-07-09,-0.03217982299309563,-0.1226382676853428,0.18037456255213777,-0.6361081514796654,-0.09040841675846722,17,0.46774193548387094,62.0
2018-10-05,0.23652021748875618,1.3377867154894365,0.3938418875836019,2.3520963217260404,-0.13225662445397735,23,0.5967741935483871,62.0
2019-01-08,0.05441483812919734,0.23607845135531513,0.16628463230274929,1.3567909565016913,-0.05964035529841638,9,0.5,62.0
2019-04-09,0.014715915591595019,0.060175805701117024,0.19169957629046486,0.39894444510936317,-0.07842323957198738,9,0.5161290322580645,62.0
2019-07-10,0.1661695252493598,0.8494677059729547,0.201367394511943,3.1563076328718744,-0.05208018699866823,7,0.5806451612903226,62.0
2019-10-08,-0.05203016430731755,-0.19243391198537418,0.1261912813664517,-1.6308918853592622,-0.05203016430731755,13,0.4838709677419355,62.0
2020-01-08,-0.03537301388020131,-0.1341600311783232,0.542511846456253,0.0048260221144721316,-0.2609934999070087,3,0.45161290322580644,62.0
2020-04-08,-0.02379128108709616,-0.0918225194742458,0.27200458559506197,-0.22053439029865526,-0.08894788104283591,13,0.46774193548387094,62.0
2020-07-09,-0.08181231219147356,-0.2892352850371359,0.2760356543925922,-1.1003865745678292,-0.18676979647812442,5,0.43548387096774194,62.0
