Date,strategy_return,cumulative_return,positions,trade_ccost,window_start,cum_pnl,rolling_max,drawdown,max_drawdown
2011-01-03,0.0,0.0,0.0,0.0,2011-01-03,1.0,1.0,0.0,0.0
2011-01-04,0.0,0.0,0.0,0.0,2011-01-03,1.0,1.0,0.0,0.0
2011-01-05,0.0,0.0,0.0,0.0,2011-01-03,1.0,1.0,0.0,0.0
2011-01-06,-0.017933155908343545,-0.017933155908343545,-1.0,0.0,2011-01-03,0.9820668440916565,1.0,-0.017933155908343545,-0.017933155908343545
2011-01-07,-0.0027907590071429844,-0.020673867799108847,-1.0,0.0,2011-01-03,0.9793261322008912,1.0,-0.020673867799108847,-0.020673867799108847
2011-01-10,-0.010784270828629205,-0.03123518603831721,-1.0,0.0,2011-01-03,0.9687648139616828,1.0,-0.03123518603831721,-0.03123518603831721
2011-01-11,-0.002581768542702534,-0.033736312560280535,-1.0,0.0,2011-01-03,0.9662636874397195,1.0,-0.033736312560280535,-0.033736312560280535
2011-01-12,-0.019567496178764632,-0.05264367357193622,-1.0,0.0,2011-01-03,0.9473563264280638,1.0,-0.05264367357193622,-0.05264367357193622
2011-01-13,-0.0006729232792730411,-0.05328117169775626,-1.0,0.0,2011-01-03,0.9467188283022437,1.0,-0.05328117169775626,-0.05328117169775626
2011-01-14,-0.026581887600410914,-0.07844674518087924,-1.0,0.0,2011-01-03,0.9215532548191208,1.0,-0.07844674518087924,-0.07844674518087924
2011-01-18,0.002785898185699631,-0.07587939164025304,-1.0,0.0,2011-01-03,0.924120608359747,1.0,-0.07587939164025304,-0.07844674518087924
2011-01-19,0.024158405642053182,-0.05355411112131736,-1.0,0.0,2011-01-03,0.9464458888786826,1.0,-0.05355411112131736,-0.07844674518087924
2011-01-20,0.010272140535396379,-0.04383208594160748,-1.0,0.0,2011-01-03,0.9561679140583925,1.0,-0.04383208594160748,-0.07844674518087924
2011-01-21,0.0071468724693715124,-0.036998475800527175,-1.0,0.0,2011-01-03,0.9630015241994728,1.0,-0.036998475800527175,-0.07844674518087924
2011-01-24,-0.023136306049945876,-0.059278773790970574,-1.0,0.0,2011-01-03,0.9407212262090294,1.0,-0.059278773790970574,-0.07844674518087924
2011-01-25,0.007035203506718712,-0.05266060852150012,-1.0,0.0,2011-01-03,0.9473393914784999,1.0,-0.05266060852150012,-0.07844674518087924
2011-01-26,0.008097214223376836,-0.04498979852645524,1.0,0.0,2011-01-03,0.9550102014735448,1.0,-0.04498979852645524,-0.07844674518087924
2011-01-27,0.019578646996968763,-0.0262919909133007,1.0,0.0,2011-01-03,0.9737080090866993,1.0,-0.0262919909133007,-0.07844674518087924
2011-01-28,-0.02740890980536914,-0.05298026591112359,1.0,0.0,2011-01-03,0.9470197340888764,1.0,-0.05298026591112359,-0.07844674518087924
2011-01-31,0.003881600735824442,-0.04930431341444397,1.0,0.0,2011-01-03,0.950695686585556,1.0,-0.04930431341444397,-0.07844674518087924
2011-02-01,0.02487812885881935,-0.025652783618044794,1.0,0.0,2011-01-03,0.9743472163819552,1.0,-0.025652783618044794,-0.07844674518087924
2011-02-02,0.005248181338316504,-0.020539232739988367,1.0,0.0,2011-01-03,0.9794607672600116,1.0,-0.020539232739988367,-0.07844674518087924
2011-02-03,0.0008159014641233586,-0.019740089265929517,1.0,0.0,2011-01-03,0.9802599107340705,1.0,-0.019740089265929517,-0.07844674518087924
2011-02-04,-0.021030465276799415,-0.04035541128086084,-1.0,0.0,2011-01-03,0.9596445887191392,1.0,-0.04035541128086084,-0.07844674518087924
2011-02-07,0.003992115855768308,-0.036524398902332944,-1.0,0.0,2011-01-03,0.9634756010976671,1.0,-0.036524398902332944,-0.07844674518087924
2011-02-08,-0.0,-0.036524398902332944,-1.0,0.0,2011-01-03,0.9634756010976671,1.0,-0.036524398902332944,-0.07844674518087924
2011-02-09,0.007053396990516103,-0.029728622997115095,-1.0,0.0,2011-01-03,0.9702713770028849,1.0,-0.029728622997115095,-0.07844674518087924
2011-02-10,-0.001291634443671974,-0.03098185892736105,-1.0,0.0,2011-01-03,0.969018141072639,1.0,-0.03098185892736105,-0.07844674518087924
2011-02-11,-0.008061678160343755,-0.03879377131222328,-1.0,0.0,2011-01-03,0.9612062286877767,1.0,-0.03879377131222328,-0.07844674518087924
2011-02-14,-0.008158037845214183,-0.04663532810291371,-1.0,0.0,2011-01-03,0.9533646718970863,1.0,-0.04663532810291371,-0.07844674518087924
2011-02-15,0.01015405714110107,-0.03695480874816348,-1.0,0.0,2011-01-03,0.9630451912518365,1.0,-0.03695480874816348,-0.07844674518087924
2011-02-16,-0.01041766047650472,-0.046987486574155635,-1.0,0.0,2011-01-03,0.9530125134258444,1.0,-0.046987486574155635,-0.07844674518087924
2011-02-17,-0.0150701918859526,-0.061349568021197065,-1.0,0.0,2011-01-03,0.9386504319788029,1.0,-0.061349568021197065,-0.07844674518087924
2011-02-18,0.0023442155118473806,-0.05914916911835011,-1.0,0.0,2011-01-03,0.9408508308816499,1.0,-0.05914916911835011,-0.07844674518087924
2011-02-22,0.0391602015812883,-0.022305260923102033,-1.0,0.0,2011-01-03,0.977694739076898,1.0,-0.022305260923102033,-0.07844674518087924
2011-02-23,0.01923716468815151,-0.003497186212740422,-1.0,0.0,2011-01-03,0.9965028137872596,1.0,-0.003497186212740422,-0.07844674518087924
2011-02-24,0.015624827060673807,0.01207299791816041,1.0,0.0,2011-01-03,1.0120729979181604,1.0120729979181604,0.0,-0.07844674518087924
2011-02-25,0.025859363484684428,0.03824456144436028,1.0,0.0,2011-01-03,1.0382445614443603,1.0382445614443603,0.0,-0.07844674518087924
2011-02-28,-0.009572300879305606,0.02830617211591213,1.0,0.0,2011-01-03,1.0283061721159121,1.0382445614443603,-0.009572300879305606,-0.07844674518087924
2011-03-01,-0.019490842872617153,0.00826361809025844,1.0,0.0,2011-01-03,1.0082636180902584,1.0382445614443603,-0.02887657153955492,-0.07844674518087924
