window_start,total_return,cagr,volatility,sharpe,max_drawdown,total_trades,hit_rate,avg_holding_period
2016-10-07,-0.051635518605836705,-0.1910882929783072,0.11430396692026983,-1.7982063749106665,-0.05567799435374343,19,0.39285714285714285,3.5
2017-01-09,0.06378304076817587,0.280596319812233,0.059466200159783766,4.1902164276180125,-0.00913538202369446,21,0.7333333333333333,2.727272727272727
2017-04-10,-0.014799756311949075,-0.05789774707855744,0.06629093041038507,-0.8668527745797917,-0.03376307575908144,19,0.5,3.6
2017-07-11,0.031728928151991465,0.13308484459875647,0.07333428331184261,1.7401568174476352,-0.020195873530872044,19,0.5757575757575758,3.3
2017-10-09,0.025301751937490513,0.10511328005100906,0.08233095068657124,1.2547433421555116,-0.023352615037796953,25,0.6388888888888888,4.5
2018-01-09,0.02809933930924946,0.1172241637839031,0.126254068705918,0.9404771485602665,-0.05721897692241429,20,0.5428571428571428,3.888888888888889
2018-04-11,0.02737578178990918,0.11408235468578365,0.09748963578759733,1.1561481125183426,-0.031089643500336495,27,0.4888888888888889,4.090909090909091
2018-07-11,0.019856882030752754,0.08182477611394257,0.07795268780493292,1.0473779762894044,-0.027589582483029007,21,0.5151515151515151,3.0
2018-10-09,0.034406691640100906,0.1448940159468315,0.16824742505651502,0.8874179706395482,-0.08639839721785614,13,0.6285714285714286,5.0
2019-01-10,-0.06702203496982528,-0.24232048257719874,0.07845409926981588,-3.4963351702787966,-0.08335962466258873,25,0.4358974358974359,4.333333333333333
2019-04-11,0.02687158384879207,0.11189696285889372,0.08447784900188246,1.297197397587105,-0.04777748455758568,24,0.5,2.3333333333333335
2019-07-12,0.06529159566242693,0.28787586086045613,0.08491069922362085,3.022695187573363,-0.02607284065373605,24,0.5925925925925926,2.4545454545454546
2019-10-10,0.04756231828789681,0.20425781229110296,0.07992716964893562,2.365614323590156,-0.03507703025025355,25,0.6764705882352942,2.8333333333333335
2020-01-10,0.0033831760196354477,0.013601534383135716,0.6590489502697834,0.35245888990472846,-0.36241307130072964,11,0.5128205128205128,6.5
2020-04-13,-0.07848212660909426,-0.278867527618314,0.28641031963683133,-1.000636520579443,-0.16074902280613967,26,0.41025641025641024,4.875
2020-07-13,0.019883438215337,0.08193745961332599,0.1622802272242748,0.5654924965582251,-0.08800041049453577,22,0.625,3.2
2020-10-09,0.06060574948979336,0.2653652639916657,0.1260956441523145,1.9291875826611025,-0.0449183590329133,25,0.5357142857142857,2.3333333333333335
2021-01-11,0.10551015460932756,0.49365722686984914,0.12564919819075587,3.257563835069777,-0.029753958422205073,25,0.6097560975609756,4.555555555555555
2021-04-13,-0.04815843406135456,-0.17915971162725775,0.12364689613820531,-1.5350411487937476,-0.0691852557952558,19,0.46808510638297873,5.875
2021-07-13,-0.08247994797824221,-0.29130028613377523,0.106795474293182,-3.169306267334738,-0.08649354613540994,19,0.47058823529411764,4.25
2021-10-11,0.055851899772540126,0.2428308436309483,0.13725563437247662,1.6515741109330009,-0.047950995532604956,19,0.5217391304347826,2.875
2022-01-10,-0.05685262973139571,-0.2087417837957336,0.1852085635687086,-1.1724877610257378,-0.07267510833068436,17,0.42857142857142855,6.0
2022-04-11,0.03018125628945767,0.12630127371802513,0.21495322355958946,0.6598944078008061,-0.0874249192119323,20,0.5277777777777778,3.6
2022-07-13,-0.27222723317740394,-0.7194674875935154,0.222014799525639,-5.600482583381362,-0.27222723317740394,19,0.3829787234042553,6.714285714285714
2022-10-11,0.06252333880952787,0.2745413011223683,0.21167341059871325,1.2535156702551604,-0.08177912726891146,31,0.6206896551724138,1.9333333333333333
2023-01-11,0.00972536710539762,0.039472653367957466,0.18761406460240596,0.29914714315458474,-0.08838779197665536,15,0.5641025641025641,4.875
2023-04-13,-0.029285693849862238,-0.11209659636682834,0.11078112446547674,-1.0182718311821828,-0.054480666201442984,25,0.5277777777777778,3.0
2023-07-14,-0.0046902121495153715,-0.01862927227693678,0.11743267391212175,-0.10233948170178593,-0.06833766078107217,13,0.5483870967741935,4.428571428571429
2023-10-12,-0.015780810528586042,-0.06164469604305922,0.18537794199639732,-0.2527627016482905,-0.12389112501243282,14,0.42424242424242425,5.5
2024-01-12,0.03781114376626027,0.16004094635107746,0.10117884312446573,1.5172870841940644,-0.024705285974735203,19,0.5909090909090909,2.2
2024-04-15,-0.045269471427807684,-0.1691488231639643,0.11298103511176823,-1.58367692878497,-0.06848377130110228,25,0.43333333333333335,2.727272727272727
2024-07-16,-0.06122431733521938,-0.22331069360741373,0.11835352891673835,-2.075706069658485,-0.08770168374116383,17,0.47619047619047616,4.666666666666667
2024-10-14,-0.030054383686933916,-0.11490571139469152,0.1355527653894275,-0.8328924490982945,-0.07931031281960121,17,0.5151515151515151,3.6666666666666665
2025-01-15,-0.02299002043866305,-0.0888371608376286,0.2200632186868808,-0.31495524603681013,-0.0938193222578374,19,0.41025641025641024,4.875
